Book_Name,Author_Name,Book_URL,Edition_Type,Price,Star_Rating,Reviews
Harry Potter and the Philosopher's Stone,J.K. Rowling,https://amazon.in/Harry-Potter-Philosophers-Stone-Rowling-ebook/dp/B019PIOJYU/ref=zg_bs_g_1318158031_sccl_1/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.7 out of 5 stars,"101,506"
"THE SILENT PATIENT [Paperback] Michaelides, Alex",Alex Michaelides,https://amazon.in/Silent-Patient-Alex-Michaelides/dp/1409181634/ref=zg_bs_g_1318158031_sccl_2/000-0000000-0000000?psc=1,Paperback,Missing,4.5 out of 5 stars,"267,952"
"The Hidden Hindu: Science-Fiction meets Indian mythology in a nail biting thriller set in 2020 [Paperback] Gupta, Akshat",Akshat Gupta,https://amazon.in/Hidden-Hindu-Akshat-Gupta/dp/0143455699/ref=zg_bs_g_1318158031_sccl_3/000-0000000-0000000?psc=1,Paperback,Missing,4.4 out of 5 stars,"2,585"
The Hidden Hindu 2,Akshat Gupta,https://amazon.in/Hidden-Hindu-2-Akshat-Gupta/dp/0143456547/ref=zg_bs_g_1318158031_sccl_4/000-0000000-0000000?psc=1,Paperback,Missing,4.6 out of 5 stars,"1,289"
"How the Earth Got Its Beauty: Puffin Chapter Book: Gorgeous new full colour, illustrated chapter book for young readers from ages 5 and up by Sudha Murty [Hardcover] Murty, Sudha",Missing,https://amazon.in/How-Earth-Got-Its-Beauty/dp/0143447068/ref=zg_bs_g_1318158031_sccl_5/000-0000000-0000000?psc=1,Hardcover,Missing,4.6 out of 5 stars,Sudha Murty
The Complete Novel of Sherlock Holmes,Arthur Conan Doyle,https://amazon.in/Complete-Novels-Sherlock-Holmes/dp/8175994312/ref=zg_bs_g_1318158031_sccl_6/000-0000000-0000000?psc=1,Paperback,Missing,4.4 out of 5 stars,"19,602"
"The Hidden Hindu Book 3 [Paperback] Gupta, Akshat",Akshat Gupta,https://amazon.in/Hidden-Hindu-Book-3/dp/0143456555/ref=zg_bs_g_1318158031_sccl_7/000-0000000-0000000?psc=1,Paperback,Missing,4.6 out of 5 stars,949
War of Lanka (Ram Chandra Series Book 4),Amish Tripathi,https://amazon.in/War-Lanka-Ram-Chandra-Book/dp/9356291527/ref=zg_bs_g_1318158031_sccl_8/000-0000000-0000000?psc=1,Paperback,Missing,4.3 out of 5 stars,"5,634"
Baby Touch: Tummy Time [Board book] Ladybird,Missing,https://amazon.in/Baby-Touch-Tummy-Time/dp/0241422345/ref=zg_bs_g_1318158031_sccl_9/000-0000000-0000000?psc=1,Board book,Missing,4.6 out of 5 stars,NA
"The Immortals of Meluha (Shiva Trilogy Book 1) (Shiva, 1)",Amish Tripathi,https://amazon.in/Immortals-Meluha-Shiva-Trilogy-Book/dp/9356290520/ref=zg_bs_g_1318158031_sccl_10/000-0000000-0000000?psc=1,Paperback,Missing,4.6 out of 5 stars,"19,478"
THE GOPI DIARIES BOXSET: set of 3 books,Missing,https://amazon.in/GOPI-DIARIES-BOXSET-Sudha-Murty/dp/9356295522/ref=zg_bs_g_1318158031_sccl_11/000-0000000-0000000?psc=1,Hardcover,Missing,4.7 out of 5 stars,Sudha Murty
THE LION INSIDE,Rachel Bright,https://amazon.in/LION-INSIDE-Rachel-Bright/dp/1408349043/ref=zg_bs_g_1318158031_sccl_12/000-0000000-0000000?psc=1,Board book,Missing,4.7 out of 5 stars,"7,431"
Harry Potter and the Chamber of Secrets,J.K. Rowling,https://amazon.in/Harry-Potter-Chamber-Secrets-Rowling-ebook/dp/B019PIOJY0/ref=zg_bs_g_1318158031_sccl_13/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.7 out of 5 stars,"82,647"
On Earth We're Briefly Gorgeous,Ocean Vuong,https://amazon.in/Earth-Were-Briefly-Gorgeous/dp/1529110688/ref=zg_bs_g_1318158031_sccl_14/000-0000000-0000000?psc=1,Paperback,Missing,4.4 out of 5 stars,"17,762"
THE CONCISE LAWS OF HUMAN NATURE,Robert Greene,https://amazon.in/CONCISE-LAWS-HUMAN-NATURE/dp/1788161564/ref=zg_bs_g_1318158031_sccl_15/000-0000000-0000000?psc=1,Paperback,Missing,4.5 out of 5 stars,958
The Secret Garden,Frances Hodgson Burnett,https://amazon.in/Secret-Garden-Frances-Hodgson-Burnett/dp/9386538997/ref=zg_bs_g_1318158031_sccl_16/000-0000000-0000000?psc=1,Paperback,Missing,4.4 out of 5 stars,"19,687"
